Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Year14,Year15,Year16,Year17,Year18,Year19,Year20,Year21,Year22,Year23,Year24,Year25,Year26,Year27,Year28,Year29,Year30
,,71,,,81,,33,72,,,,,,,,,,55,,20,,52,,,,95,,14,
92,,74-20,,,,,38,,14,52,,,,,,91,91,83,,52,,8,,97,,,40,,
52,52,14,,,,,95,,66,,16,,,33-91,,,,91,,,,,,,,,,81-43,20
,,,,,90,,,,,,71,57,50,,35,,,52,,,81,,,,83,,,,61
,,,,,,,,50-4,,,,71,,,91-86-27-81,,,,16,,,38,33,,,33,,,33-43
,,,,,,,,,,,4,91,,,52,95,,,57,,,1,,,,,38,63,
,20,1,82-81-84,,,,,92,,,,16,14,52,52,52,,,,,32,,20,,,81,,,
,,,,,,,,,,,,33,,,,,,14,91-52,,,,,,,,1,,81
,64,8,,33-91,,,,,52,,,90,,33,,,20,,,15,,,16,,4-91,,,57,
,83,,,60,,,,91,,61,,96,24-51,,,58,,15,,16-60,,1,67,,,,33-55,24,
,20,51,,1,95,33,,,,,,81,,,,,81-81,,,,4,,,33,,,,20,58
,,96,52,,,,,,,81,,52,52,16,,,15,,20,,,92,20,15,,91,,,
82,,,,91-37,,37,,14-95,,,71,,,85,,,,,79,,14,,,,20,,,,81
,27,27-91,,60,,,,52,84,33-24,,,92,11-88,,70,,,96,,,51,,52,,,,,
,,48,8,52,,,74,,,,,27,,52,48,37,,,,,,1,,52,,,,,
,,8,,,72-31,,,,,43,,33,,,,,,95,,,,,,,81,,,52-20,
,,,,,,,,14,,,81,,,,,,,58,,,,,33,,,,,,
84-33,,,52-33,14,,,,90,,12,,,,52-47,,43,,,,14,,,,,16,91,92,,
,31,,,,,52,,,11,35-87,,,,,58,,43,90,14,39,,,,,3,,,,
,,,,,,,57,,,,52,61,,,74,,52,,,20,,,,,63-8,,,,
,,,,70,14,,,,,97-85-38,,,,58,,,,,,52,,,,,,,52,,
,,52,,94,,,33,,,96,,33,,52-91,,11,,21,,,,,,,,,,,
52,,84,,25,,,,52,,,,,52,,33,,,,,,65,91,,,,,,,38
,,36-95,,,14,36,33,,,8,,,,,,,,,,,16-33,52,,,,1,,63,83
,,,,,84,,,,,69,,33,,,,,81-52,90,,15,,,,,,,36,91,66
74,,52,,96,,,,,,,,,1,,,,,81,,,,,,,,,81,,
48,81,57,,,,,84,,,,91,52,,,,,,,,,,48,33,,,,,,14-92-36
57,27,14,14,,,34,,,92,,,,,,,,,,81-52,,,,,14,,74,,,
58,,15,,,,,,,,,,,,,,14,96-70,,,67,,52-91,27,,91,,52,,91
72,,,,37,,,,,,20,,,,71,,,,61,,43-16,,,,16-36-81,,,,,
,,,,,,,,,52,,,,,,14,52-14,85-61,85,47,90,,16,,,,,,38,20
52,92,96,,52,,,,1,,,,84,,,,14-74,,20-81,,,,91-83,81,,91,,,,
,,35,92,,84,,,,,,65,4,,,,,,,,91,,,,,38,,,,
92,,92-11,70,,,,,33,70,92,,,,,,,,,,,,,65,,61,40-65,,,
,,,,,14,,,,33,,,,,,,33-38,,,,57,,,33-91,,,,36,,
,11,,,,,,63,,,14,,72-81,,,,80,,,,,,,,,,4-26,84,,52
